Project Name,Package Name,Architecture Smell,Cause of the Smell
code-quality-analyzer-backend,code.quality.analyzer.service,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: code.quality.analyzer.service; code.quality.analyzer.util; code.quality.analyzer.service
code-quality-analyzer-backend,code.quality.analyzer.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): code.quality.analyzer.service
