Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no,Comments
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisControllerTest,callServiceAndTest,Long Statement,"The length of the statement ""MvcResult mvcResult=mockMvc.perform(MockMvcRequestBuilders.post(url).contentType(MediaType.APPLICATION_JSON).content(new ObjectMapper().writeValueAsString(commitAnalysisRequest))).andExpect(MockMvcResultMatchers.status().isOk()).andReturn();"" is 241.",95,This smell is false positive as it is not a long statement but the chain of method calls using dot operator. It is adviced in the java documentation itself to use this methods through chaining as shown in java documentation example at below link. https://www.javadoc.io/doc/org.springframework/spring-test/5.2.7.RELEASE/org/springframework/test/web/servlet/MockMvc.html 
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtil,checkoutAndValidate,Long Statement,"The length of the statement ""git.checkout().setCreateBranch(true).setName(branchname).setUpstreamMode(CreateBranchCommand.SetupUpstreamMode.SET_UPSTREAM).setStartPoint(Constants.REMOTE_ORIGIN + branchname).call();"" is 184.",52,This smell is a false positive as it is not a long statement but the chain of method calls using dot operator. It is adviced in the java documentation itself to use this methods through chaining as shown in java documentation example at below link. https://javadoc.io/doc/org.eclipse.jgit/org.eclipse.jgit/5.13.0.202109080827-r/org/eclipse/jgit/api/Git.html
